"id","doi","title","abstract","publication_year","cross","all","thematic_pioneer","thematic_rare_5pct","methodological_pioneer","methodological_rare_5pct","cross_pioneer","cross_rare_5pct","exposure_inst_cross","exposure_inst_thematic","exposure_coauth_cross","exposure_coauth_thematic","exposure_intell_cross","exposure_intell_thematic","theoretical","methodological"
"https://openalex.org/W2792902901","https://doi.org/10.7251/socen1407021k","Methodological issues in contemporary sociology of Bosnia and Herzegovina","Contemporary sociological science is increasingly being characterized by apositivist, therefore, the orientation on the empirical research of social problems.If there is, however, about the Bosnian-Herzegovinian sociology, thereare many unexplored issues in the fi eld of empirical sociological research - andthe greater is the number of causes of it. Methodological problems, of course,are one of the major manifestations of those causes- the problems in the areaof quantitative as well as those in the fi eld of qualitative sociological research.Some of the other dimensions of the problem should not be ignored - the issueof ethics in sociological research, the problem of a single database in the fi eldof sociology, as well as the research in the fi eld of social sciences in general, andthe like. And all of that is analyzed in the context of this paper.","2017","[('B49', 'Y80'), ('B49', 'O17'), ('B49', 'Z13'), ('B59', 'Y80'), ('B59', 'O17'), ('B59', 'Z13'), ('C18', 'Y80'), ('C18', 'O17'), ('C18', 'Z13'), ('B41', 'Y80'), ('B41', 'O17'), ('B41', 'Z13')]","['B41', 'Y80', 'Z13', 'B49', 'B59', 'O17', 'C18']","False","False","False","False","False","False","0.0","0.0","0.0","0.0","","","['Y80', 'O17', 'Z13']","['B49', 'B59', 'C18', 'B41']"
"https://openalex.org/W2078590249","https://doi.org/10.1111/j.1542-4774.2012.01088.x","AN INTERNATIONAL COMPARISON OF LIFETIME INEQUALITY: HOW CONTINENTAL EUROPE RESEMBLES NORTH AMERICA","Journal Article An International Comparison of Lifetime Inequality: How Continental Europe Resembles North America Get access Audra J. Bowlus, Audra J. Bowlus 1University of Western Ontario Search for other works by this author on: Oxford Academic Google Scholar Jean-Marc Robin Jean-Marc Robin 2Sciences Po, Paris and University College London Search for other works by this author on: Oxford Academic Google Scholar Journal of the European Economic Association, Volume 10, Issue 6, 1 December 2012, Pages 1236–1262, https://doi.org/10.1111/j.1542-4774.2012.01088.x Published: 01 December 2012","2012","[('C43', 'I32'), ('C43', 'J62'), ('C43', 'E25'), ('C43', 'O57'), ('C43', 'F11'), ('C10', 'I32'), ('C10', 'J62'), ('C10', 'E25'), ('C10', 'O57'), ('C10', 'F11')]","['I32', 'J62', 'E25', 'C10', 'O57', 'C43', 'F11']","False","True","False","False","False","False","0.4689542483660131","0.7083333333333334","0.0","0.0","","","['I32', 'J62', 'E25', 'O57', 'F11']","['C43', 'C10']"
"https://openalex.org/W2903061858","https://doi.org/10.32400/gc.13.04.21308.2018","ANALISIS PENERAPAN E-NOFA (ELEKTRONIK NOMOR FAKTUR) PAJAK SEBAGAI UPAYA UNTUK MENCEGAH TERJADINYA FAKTUR PAJAK FIKTIF DAN FAKTUR PAJAK NOMOR BERGANDA (STUDI PADA KANTOR PELAYANAN PAJAK PRATAMA MANADO)","The purpose of this study was to find out (e-Nofa) taxes in the tax service office (KPP) in Manado. The type of research conducted is qualitative. Data is obtained by conducting interviews, literature studies, documentation and collecting documents related to research. The data taken are: Sources of information, language, organizational structure, head office and agencies, as well as interviews with the Pratama Manado tax office and taxable entrepreneurs (PKP) who use E-Nofa. The analytical method used is descriptive comparative. The stages carried out in this study are the data needed, after which transcripts of interviews are made. Then an interview is conducted by providing codes to assist in presenting and focusing what data is suitable for analysis. The results showed that the application of e-Nofa at KPP Pratama Manado was good, but it was not yet fully efficient because of some requirements of tax duties that caused an efficient level.Keywords: e-Nofa, Taxable Enterpreneus","2018","[('C83', 'O33'), ('C83', 'H26'), ('C83', 'K34'), ('C83', 'H21'), ('C83', 'M15'), ('C88', 'O33'), ('C88', 'H26'), ('C88', 'K34'), ('C88', 'H21'), ('C88', 'M15')]","['O33', 'H26', 'K34', 'H21', 'M15', 'C83', 'C88']","True","True","False","False","False","False","0.0192307692307692","0.2041958041958042","0.0","0.1111111111111111","","","['O33', 'H26', 'K34', 'H21', 'M15']","['C83', 'C88']"
"https://openalex.org/W2885379072","https://doi.org/10.1051/matecconf/201818910025","The relationship of economic variables and final energy consumption: multiple linear regression evidence","Energy consumption in developing countries is sharply increasing due to higher economic growth of industrialization along with population growth and urbanization. This paper provides a multiple linear regression evidence to illustrate the association between final energy consumption and three economic variables. Multiple linear regression analysis was used to obtain a predictive equation and to check for linearity assumption. Three input variables, viz. growth domestic product, population, and tourism are the predictors for final energy consumption. Time series yearly data of final energy consumption and the three input variables for the year 2001 until 2012 was retrieved from various databases. It is found that there was a significant variation in the final energy consumption explained by the three variables. The multiple linear regression equation indicates that the ‘population’ is the most influential variable in predicting final energy consumption.","2018","[('C30', 'Q40'), ('C30', 'E20'), ('C30', 'O13'), ('C30', 'R11'), ('C50', 'Q40'), ('C50', 'E20'), ('C50', 'O13'), ('C50', 'R11'), ('C10', 'Q40'), ('C10', 'E20'), ('C10', 'O13'), ('C10', 'R11')]","['Q40', 'C50', 'R11', 'E20', 'O13', 'C30', 'C10']","False","False","False","False","False","False","0.1666666666666666","0.0","0.0","0.0","","","['Q40', 'E20', 'O13', 'R11']","['C30', 'C50', 'C10']"
"https://openalex.org/W2409166167","https://doi.org/10.14355/fiee.2016.05.007","Research on the Relation between Investment in Industrial Pollution Control and Economic Growth in Xinjiang","This paper analyzes the investment efficiency of the industrial pollution control of Xinjiang (2001-2013) by using DEA models. The results show that the efficiency of the whole industrial pollution control investment in Xinjiang is relatively low, and the investment DEA is not effective for industrial pollution and environment governance. Industrial pollution control investment efficiency level is low. This is mainly caused by the non-effectiveness of the pure technical efficiency prior to 2010 and the non-effectiveness of post-2010 scale efficiency. It means that the industrial pollution control investment and output structure prior to 2010 is irrational and the post-2010 scale efficiency is decreasing. Finally, aiming at the investment efficiency level of the industrial pollution control in Xinjiang, the paper puts forward to some countermeasures and suggestions.","2016","[('C61', 'H23'), ('C61', 'R11'), ('C61', 'Q56'), ('C61', 'O47'), ('C61', 'Q53'), ('C67', 'H23'), ('C67', 'R11'), ('C67', 'Q56'), ('C67', 'O47'), ('C67', 'Q53')]","['H23', 'C61', 'C67', 'R11', 'Q56', 'O47', 'Q53']","False","False","False","False","False","False","","","0.0","0.0","","","['H23', 'R11', 'Q56', 'O47', 'Q53']","['C61', 'C67']"
"https://openalex.org/W2101363801","https://doi.org/10.5539/ijef.v1n2p156","Time Series Behavior of Imports and Exports of Bangladesh: Evidence from Cointegration Analysis and Error Correction Model","Bangladesh, a developing economy, contains trade deficit from her very inception. This paper makes an effort to understand the time series behavior of total export and total import of Bangladesh. Unit root tests recognize the existence of random walk in total export and total import time series. Johansen cointegration test reveals long-run equilibrium relationship between these two variables. Getting the existence of cointegration, the study attempts to find causal relationship using error-correction mechanism. Test results unveil bidirectional long term causality and unidirectional short term causality between import and export of Bangladesh. Findings of the study corroborate that Bangladesh is not in violation of its international budget constraints.","2009","[('C22', 'O24'), ('C22', 'F14'), ('C22', 'F41'), ('C22', 'E17'), ('C32', 'O24'), ('C32', 'F14'), ('C32', 'F41'), ('C32', 'E17'), ('C51', 'O24'), ('C51', 'F14'), ('C51', 'F41'), ('C51', 'E17')]","['F14', 'C32', 'F41', 'C22', 'E17', 'O24', 'C51']","True","True","True","True","True","True","0.0","0.0","0.0","0.0","","","['O24', 'F14', 'F41', 'E17']","['C22', 'C32', 'C51']"
"https://openalex.org/W2809545070","https://doi.org/10.4236/tel.2018.810115","The Origin of Piketty’s Inequality &lt;i&gt;r&lt;/i&gt; &gt; &lt;i&gt;g&lt;/i&gt; Considered in a General Framework","This paper studies the origin of Piketty’s inequality between the profit rate (r) and the growth rate of the national income (g) by focusing on the growth rate (γ) of the r / g ratio in an economy that grows gradually along a succession of production cycles. It is shown that, given a succession of three production cycles, the value of γ in the last cycle is determined by the equation 1+γ=(1+v)(1+k) where v is the growth rate of the profit share (α) in the last cycle while κ is a function of three variables: the income/capital ratio of the last cycle, the values of the savings rate in the first two cycles and those of the growth rate of the income/capital ratio in the last two. The equation just presented is also relevant for a succession of more than three production cycles for which the yearly values of r, g and α are known. Indeed, in this case it is possible to calculate the average values of γ and v from the empirical data, which then can be used in the equation to determine the average value of κ. Once the three variables are known, it is possible to calculate the parts attributable respectively to the average values of v and κ in the determination of the average value of γ. A similar result is obtained regarding the part attributable to the average changes in the savings rate and in the growth rate of the income/capital ratio, taken together, in the determination of the average value of κ. The paper also identifies those configurations of the relevant variables where γ > 0 out of which, when the succession of production cycles is long enough, results the inequality r > g.","2018","[('C61', 'B21'), ('C61', 'O40'), ('C61', 'E25'), ('C61', 'E22'), ('C61', 'E10'), ('C51', 'B21'), ('C51', 'O40'), ('C51', 'E25'), ('C51', 'E22'), ('C51', 'E10')]","['B21', 'C61', 'O40', 'E25', 'E22', 'E10', 'C51']","False","False","False","False","False","False","0.0","1.0","0.0","0.0","0.25","0.25","['B21', 'O40', 'E25', 'E22', 'E10']","['C61', 'C51']"
"https://openalex.org/W2102597902","https://doi.org/10.1002/sim.6463","Meta‐analysis of diagnostic tests accounting for disease prevalence: a new model using trivariate copulas","In real life and somewhat contrary to biostatistical textbook knowledge, sensitivity and specificity (and not only predictive values) of diagnostic tests can vary with the underlying prevalence of disease. In meta‐analysis of diagnostic studies, accounting for this fact naturally leads to a trivariate expansion of the traditional bivariate logistic regression model with random study effects. In this paper, a new model is proposed using trivariate copulas and beta‐binomial marginal distributions for sensitivity, specificity, and prevalence as an expansion of the bivariate model. Two different copulas are used, the trivariate Gaussian copula and a trivariate vine copula based on the bivariate Plackett copula. This model has a closed‐form likelihood, so standard software (e.g., SAS PROC NLMIXED ) can be used. The results of a simulation study have shown that the copula models perform at least as good but frequently better than the standard model. The methods are illustrated by two examples. Copyright © 2015 John Wiley &amp; Sons, Ltd.","2015","[('C11', 'I10'), ('C11', 'I19'), ('C15', 'I10'), ('C15', 'I19'), ('C10', 'I10'), ('C10', 'I19'), ('C12', 'I10'), ('C12', 'I19'), ('C18', 'I10'), ('C18', 'I19')]","['C11', 'I10', 'I19', 'C15', 'C10', 'C12', 'C18']","False","False","False","False","False","False","0.0","0.0","0.0","0.0","0.0","","['I10', 'I19']","['C11', 'C15', 'C10', 'C12', 'C18']"
"https://openalex.org/W2123296020","https://doi.org/10.1017/s1074070800002613","Valuing Fed Cattle Using Objective Tenderness Measures","Beef tenderness is critical in consumer satisfaction with beef steak products. Current fed cattle valuation systems do not differentiate carcasses based upon tenderness variation. However, considerable research indicates consumers are willing to pay more for tender relative to tough beef steak. This article develops a tenderness-augmentation to current fed cattle grid pricing systems. Using a large set of actual carcasses, we determine that a tenderness-augmented price grid would reorder fed cattle value by on average nearly $5.00/cwt dressed relative to current valuation methods. Substantial opportunity is present to improve beef tenderness through new price signals to producers.","2009","[('C93', 'Q17'), ('C93', 'D12'), ('C93', 'M31'), ('C93', 'Q13'), ('C93', 'L15'), ('C51', 'Q17'), ('C51', 'D12'), ('C51', 'M31'), ('C51', 'Q13'), ('C51', 'L15')]","['C93', 'Q17', 'D12', 'Q13', 'M31', 'L15', 'C51']","True","True","True","True","True","True","0.0","0.0","0.0","0.0","","","['Q17', 'D12', 'M31', 'Q13', 'L15']","['C93', 'C51']"
"https://openalex.org/W2912051952","https://doi.org/10.3390/en12040618","Testing the Efficiency of Electricity Markets Using a New Composite Measure Based on Nonlinear TS Tools","In this paper we examine and compare the efficiency of four European electricity markets (NordPool, Italian, Spanish and Greek) of different microstructure and level of maturity, by testing the weak form of the Efficient Market Hypothesis (EMH). To quantify the level of efficiency deviation of each market from the ‘ideal’ or ‘benchmark market of random walk’, we have constructed a Composite Electricity Market Efficiency Index (EMEI), inspired by similar works on other energy commodities. The proposed index consists of linear and nonlinear components each one measuring a different feature or dimension of the market efficiency such as its complexity, fractality, entropy, long-term memory or correlation, all connected to the associated benchmark values of the Random Walk Process (RWP). The key findings are that overall, all examined electricity markets are inefficient in respect to the weak form of EMH and the less inefficient market, as measured by the EMEI is the NordPool, closely followed by the Spanish market, with the Italian being the third. The most inefficient market is the Greek one. These results are in accordance with the predominant view about the maturity of these markets. This study contributes significantly on improving the research framework in developing consistent and robust tools for efficiency measurement, while the proposed index can be a valuable tool in designing improved guidelines towards enhancing the efficiency of electricity markets.","2019","[('C22', 'Q40'), ('C22', 'G10'), ('C22', 'L94'), ('C22', 'G20'), ('C15', 'Q40'), ('C15', 'G10'), ('C15', 'L94'), ('C15', 'G20'), ('C01', 'Q40'), ('C01', 'G10'), ('C01', 'L94'), ('C01', 'G20')]","['Q40', 'G10', 'C15', 'C22', 'L94', 'C01', 'G20']","False","True","False","False","False","False","0.0","0.0","0.0","0.0","0.0","0.5","['Q40', 'G10', 'L94', 'G20']","['C22', 'C15', 'C01']"
